matrix,row_block_size,col_block_size,tau
data/suitsparse_N20000_100000_dN0.0001_0.1//bbmat.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bbmat.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bbmat.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bbmat.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk30.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk30.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk30.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk30.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk30.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk31.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk31.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk31.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk31.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk31.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk32.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk32.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk32.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk32.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk32.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk35.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk35.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk35.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk35.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk35.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk36.tar.gz,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk36.tar.gz,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk36.tar.gz,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk36.tar.gz,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk36.tar.gz,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk37.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk37.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk37.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk37.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstk37.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstm36.mtx,64,64,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstm36.mtx,128,128,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstm36.mtx,256,256,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstm36.mtx,512,512,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//bcsstm36.mtx,1024,1024,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//bips07_3078.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bips07_3078.mtx,128,128,-1.0
