exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,merge_limit,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,avg_skipped,skipped_std,avg_comparisons,comparisons_std,VBSmm_algo_mean(ms),VBSmm_algo_std,cusparse_spmm_mean(ms),cusparse_spmm_std,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,16384,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,3.107651,0.335478,27.719997,0.389724,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,32768,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,5.947136,0.515429,56.339851,0.377866,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,4096,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,4.002800,0.408243,27.146816,0.299625,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,8192,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,4.507731,0.382606,54.939472,0.663924,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,16384,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,9.871652,0.518422,111.148682,1.691821,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,32768,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,19.522280,0.889297,223.037262,3.053108,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,4096,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,3.910272,0.338046,27.205761,0.323116,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,8192,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,4.511744,0.392521,55.068260,0.411802,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,16384,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,9.859309,0.530398,110.278946,1.273260,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-WormNet-v3.el,16347,16347,32768,1.000000,762822,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.390625,0.000000,939770.000000,0.000000,257.000000,0.000000,256.000000,0.000000,0.000000,0.000000,32896.000000,0.000000,19.513752,0.876612,222.545258,3.863143,
