matrix_name rows cols nnz block_size scramble algo mask tau centroid VBR_nzcount VBR_nzblocks_count VBR_average_height VBR_longest_row
3dtube 45330 45330 1629474 16 0 clubs 16 06 64 9730436 38140 15.9453 149
3dtube 45330 45330 1629474 16 0 clubs 16 09 64 14075524 55113 15.9622 149
3dtube 45330 45330 1629474 16 0 clubs 64 01 64 8808836 34540 15.9396 149
3dtube 45330 45330 1629474 16 0 clubs 64 03 64 10188164 39928 15.9478 149
3dtube 45330 45330 1629474 16 0 clubs 64 06 64 12073860 47294 15.9559 149
3dtube 45330 45330 1629474 16 0 clubs 64 09 64 15544708 60852 15.9657 149
3dtube 45330 45330 1629474 16 0 clubs 256 01 64 11074692 43391 15.9519 149
3dtube 45330 45330 1629474 16 0 clubs 256 03 64 13233284 51823 15.9597 149
3dtube 45330 45330 1629474 16 0 clubs 256 06 64 15357060 60119 15.9653 149
3dtube 45330 45330 1629474 16 0 clubs 256 09 64 15263876 59755 15.9651 150
3dtube 45330 45330 1629474 16 0 clubs 1 01 64 8733060 34244 15.9391 149
3dtube 45330 45330 1629474 16 0 clubs 1 03 64 8740484 34273 15.9391 149
3dtube 45330 45330 1629474 16 0 clubs 1 06 64 9153156 35885 15.9419 149
3dtube 45330 45330 1629474 16 0 clubs 1 09 64 11410820 44704 15.9533 149
3dtube 45330 45330 1629474 16 0 clubs 16 01 64 8615812 33786 15.9383 149
3dtube 45330 45330 1629474 16 0 clubs 16 03 64 9532804 37368 15.9442 149
3dtube 45330 45330 1629474 16 0 clubs 16 06 64 9730436 38140 15.9453 149
3dtube 45330 45330 1629474 16 0 clubs 16 09 64 14075524 55113 15.9622 149
3dtube 45330 45330 1629474 16 0 clubs 64 01 64 8808836 34540 15.9396 149
3dtube 45330 45330 1629474 16 0 clubs 64 03 64 10188164 39928 15.9478 149
3dtube 45330 45330 1629474 16 0 clubs 64 06 64 12073860 47294 15.9559 149
3dtube 45330 45330 1629474 16 0 clubs 64 09 64 15544708 60852 15.9657 149
3dtube 45330 45330 1629474 16 0 clubs 256 01 64 11074692 43391 15.9519 149
3dtube 45330 45330 1629474 16 0 clubs 256 03 64 13233284 51823 15.9597 149
3dtube 45330 45330 1629474 16 0 clubs 256 06 64 15357060 60119 15.9653 149
3dtube 45330 45330 1629474 16 0 clubs 256 09 64 15263876 59755 15.9651 150
3dtube 45330 45330 1629474 16 0 clubs 1 01 128 8733060 34244 15.9391 149
3dtube 45330 45330 1629474 16 0 clubs 1 03 128 8744836 34290 15.9392 149
3dtube 45330 45330 1629474 16 0 clubs 1 06 128 9108612 35711 15.9416 149
3dtube 45330 45330 1629474 16 0 clubs 1 09 128 11110020 43529 15.9521 149
3dtube 45330 45330 1629474 16 0 clubs 16 01 128 8615812 33786 15.9383 149
3dtube 45330 45330 1629474 16 0 clubs 16 03 128 9524100 37334 15.9441 149
3dtube 45330 45330 1629474 16 0 clubs 16 06 128 9736836 38165 15.9453 149
3dtube 45330 45330 1629474 16 0 clubs 16 09 128 13734020 53779 15.9612 149
3dtube 45330 45330 1629474 16 0 clubs 64 01 128 8721284 34198 15.939 149
3dtube 45330 45330 1629474 16 0 clubs 64 03 128 10181252 39901 15.9477 149
3dtube 45330 45330 1629474 16 0 clubs 64 06 128 11886212 46561 15.9552 149
3dtube 45330 45330 1629474 16 0 clubs 64 09 128 15032196 58850 15.9646 149
3dtube 45330 45330 1629474 16 0 clubs 256 01 128 10205572 39996 15.9478 149
3dtube 45330 45330 1629474 16 0 clubs 256 03 128 12899716 50520 15.9587 149
3dtube 45330 45330 1629474 16 0 clubs 256 06 128 15193732 59481 15.9649 149
3dtube 45330 45330 1629474 16 0 clubs 256 09 128 15110276 59155 15.9647 162
598a 110971 110971 741934 16 0 clubs 1 01 64 152625408 596233 15.9989 201
598a 110971 110971 741934 16 0 clubs 1 03 64 152614400 596190 15.9989 201
598a 110971 110971 741934 16 0 clubs 1 06 64 150705920 588735 15.9989 205
598a 110971 110971 741934 16 0 clubs 1 09 64 91943552 359172 15.9992 118
598a 110971 110971 741934 16 0 clubs 16 01 64 152390144 595314 15.9989 201
598a 110971 110971 741934 16 0 clubs 16 03 64 152343040 595130 15.9989 201
598a 110971 110971 741934 16 0 clubs 16 06 64 140907936 550461 15.9989 199
598a 110971 110971 741934 16 0 clubs 16 09 64 96720096 377831 15.9992 130
598a 110971 110971 741934 16 0 clubs 64 01 64 153032960 597825 15.9989 201
598a 110971 110971 741934 16 0 clubs 64 03 64 153124352 598182 15.9989 200
598a 110971 110971 741934 16 0 clubs 64 06 64 140079008 547223 15.9988 197
598a 110971 110971 741934 16 0 clubs 64 09 64 125176624 488994 15.9993 155
598a 110971 110971 741934 16 0 clubs 256 01 64 153831936 600946 15.9989 201
598a 110971 110971 741934 16 0 clubs 256 03 64 153759488 600663 15.9989 202
