matrix,row_block_size,col_block_size,tau
data/suitesparse_all//TSOPF_RS_b300_c2.mtx,512,512,0.001
data/suitesparse_all//TSOPF_RS_b300_c2.mtx,1024,1024,0.001
data/suitesparse_all//TSOPF_RS_b300_c3.mtx,64,64,-1.0
data/suitesparse_all//TSOPF_RS_b300_c3.mtx,256,256,-1.0
data/suitesparse_all//TSOPF_RS_b300_c3.mtx,512,512,0.6
data/suitesparse_all//TSOPF_RS_b300_c3.mtx,1024,1024,0.6
data/suitesparse_all//TSOPF_RS_b39_c19.mtx,64,64,0.01
data/suitesparse_all//TSOPF_RS_b39_c19.mtx,256,256,0.01
data/suitesparse_all//TSOPF_RS_b39_c19.mtx,512,512,0.01
data/suitesparse_all//TSOPF_RS_b39_c19.mtx,1024,1024,-1.0
data/suitesparse_all//TSOPF_RS_b39_c30.mtx,64,64,0.4
data/suitesparse_all//TSOPF_RS_b39_c30.mtx,256,256,0.01
data/suitesparse_all//TSOPF_RS_b39_c30.mtx,512,512,0.4
data/suitesparse_all//TSOPF_RS_b39_c30.mtx,1024,1024,0.01
data/suitesparse_all//TSOPF_RS_b678_c2.mtx,64,64,-1.0
data/suitesparse_all//TSOPF_RS_b678_c2.mtx,256,256,-1.0
data/suitesparse_all//TSOPF_RS_b678_c2.mtx,512,512,0.4
data/suitesparse_all//TSOPF_RS_b678_c2.mtx,1024,1024,-1.0
data/suitesparse_all//Trefethen_20000.mtx,64,64,-1.0
data/suitesparse_all//Trefethen_20000.mtx,256,256,-1.0
data/suitesparse_all//Trefethen_20000.mtx,512,512,-1.0
data/suitesparse_all//Trefethen_20000.mtx,1024,1024,-1.0
data/suitesparse_all//Zd_Jac2.mtx,64,64,0.8
data/suitesparse_all//Zd_Jac2.mtx,256,256,-1.0
data/suitesparse_all//Zd_Jac2.mtx,512,512,-1.0
data/suitesparse_all//Zd_Jac2.mtx,1024,1024,-1.0
data/suitesparse_all//Zd_Jac2_db.mtx,64,64,-1.0
data/suitesparse_all//Zd_Jac2_db.mtx,256,256,-1.0
data/suitesparse_all//Zd_Jac2_db.mtx,512,512,-1.0
data/suitesparse_all//Zd_Jac2_db.mtx,1024,1024,-1.0
data/suitesparse_all//Zd_Jac3.mtx,64,64,0.6
data/suitesparse_all//Zd_Jac3.mtx,256,256,-1.0
data/suitesparse_all//Zd_Jac3.mtx,512,512,-1.0
data/suitesparse_all//Zd_Jac3.mtx,1024,1024,-1.0
data/suitesparse_all//Zd_Jac3_db.mtx,64,64,-1.0
data/suitesparse_all//Zd_Jac3_db.mtx,256,256,-1.0
data/suitesparse_all//Zd_Jac3_db.mtx,512,512,-1.0
data/suitesparse_all//Zd_Jac3_db.mtx,1024,1024,-1.0
data/suitesparse_all//Zd_Jac6.mtx,64,64,0.8
data/suitesparse_all//Zd_Jac6.mtx,256,256,-1.0
data/suitesparse_all//Zd_Jac6.mtx,512,512,-1.0
data/suitesparse_all//Zd_Jac6.mtx,1024,1024,-1.0
data/suitesparse_all//Zd_Jac6_db.mtx,64,64,-1.0
data/suitesparse_all//Zd_Jac6_db.mtx,256,256,-1.0
data/suitesparse_all//Zd_Jac6_db.mtx,512,512,-1.0
data/suitesparse_all//Zd_Jac6_db.mtx,1024,1024,-1.0
data/suitesparse_all//Zhao1.mtx,64,64,-1.0
data/suitesparse_all//Zhao1.mtx,256,256,-1.0
data/suitesparse_all//Zhao1.mtx,512,512,-1.0
data/suitesparse_all//Zhao1.mtx,1024,1024,-1.0
data/suitesparse_all//Zhao2.mtx,64,64,-1.0
data/suitesparse_all//Zhao2.mtx,256,256,-1.0
data/suitesparse_all//Zhao2.mtx,512,512,-1.0
data/suitesparse_all//Zhao2.mtx,1024,1024,-1.0
data/suitesparse_all//af23560.mtx,64,64,0.2
data/suitesparse_all//af23560.mtx,256,256,0.01
data/suitesparse_all//af23560.mtx,512,512,-1.0
data/suitesparse_all//af23560.mtx,1024,1024,-1.0
data/suitesparse_all//ak2010.mtx,64,64,0.2
data/suitesparse_all//ak2010.mtx,256,256,-1.0
data/suitesparse_all//ak2010.mtx,512,512,-1.0
data/suitesparse_all//ak2010.mtx,1024,1024,0.001
data/suitesparse_all//as-22july06.mtx,64,64,0.2
data/suitesparse_all//as-22july06.mtx,256,256,0.1
data/suitesparse_all//as-22july06.mtx,512,512,0.001
data/suitesparse_all//as-22july06.mtx,1024,1024,0.001
data/suitesparse_all//as-caida.mtx,64,64,0.1
data/suitesparse_all//as-caida.mtx,256,256,0.001
data/suitesparse_all//as-caida.mtx,512,512,0.2
data/suitesparse_all//as-caida.mtx,1024,1024,0.001
data/suitesparse_all//aug2d.mtx,64,64,0.4
data/suitesparse_all//aug2d.mtx,256,256,-1.0
data/suitesparse_all//aug2d.mtx,512,512,-1.0
data/suitesparse_all//aug2d.mtx,1024,1024,-1.0
data/suitesparse_all//aug3d.mtx,64,64,0.4
data/suitesparse_all//aug3d.mtx,256,256,0.01
data/suitesparse_all//aug3d.mtx,512,512,0.6
data/suitesparse_all//aug3d.mtx,1024,1024,0.1
data/suitesparse_all//av41092.mtx,64,64,0.1
data/suitesparse_all//av41092.mtx,256,256,0.001
data/suitesparse_all//av41092.mtx,512,512,0.001
data/suitesparse_all//av41092.mtx,1024,1024,0.001
data/suitesparse_all//bayer04.mtx,64,64,-1.0
data/suitesparse_all//bayer04.mtx,256,256,-1.0
data/suitesparse_all//bayer04.mtx,512,512,0.4
data/suitesparse_all//bayer04.mtx,1024,1024,0.4
data/suitesparse_all//bbmat.mtx,64,64,-1.0
