exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,64,0.600000,scalar,1,1,0,5,-1,6.192292,0.007110,20148284.000000,9730.069336,4954.399902,4.841487,50916.601562,33.672539,1.000000,0.000000,416.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,32,0.700000,scalar,1,1,0,5,-1,3.817896,0.003042,9974504.000000,3456.296387,6751.600098,4.454212,81714.398438,38.312401,1.000000,0.000000,206.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,64,0.700000,scalar,1,1,0,5,-1,4.187491,0.004467,17416848.000000,6408.654297,6164.200195,4.261455,65083.601562,45.526257,1.000000,0.000000,283.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,32,0.800000,scalar,1,1,0,5,-1,1.119269,0.000085,6679918.500000,97.901230,10527.599609,5.571355,186635.406250,13.275543,1.000000,0.000000,55.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,64,0.800000,scalar,1,1,0,5,-1,1.357674,0.000130,12042240.000000,181.019333,10046.200195,4.621688,138773.406250,11.464730,1.000000,0.000000,245.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,32,0.900000,scalar,1,1,0,5,-1,1.006233,0.000045,6421088.000000,0.000000,10813.000000,4.690416,199535.203125,8.997778,1.000000,0.000000,22.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,64,0.900000,scalar,1,1,0,5,-1,1.009987,0.000078,11385576.000000,0.000000,10643.799805,4.707441,176328.000000,13.652839,1.000000,0.000000,25.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,32,0.300000,scalar,1,1,0,5,-1,14.433536,0.147467,11228774.000000,96875.476562,1063.400024,6.468385,24332.400391,72.681770,1.000000,0.000000,108.599998,2.576820,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,64,0.300000,scalar,1,1,0,5,-1,44.053440,0.238863,33401946.000000,127840.742188,425.200012,4.621688,11879.599609,66.653130,1.000000,0.000000,738.799988,14.878173,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,32,0.400000,scalar,1,1,0,5,-1,5.214723,0.057568,5050308.000000,51923.324219,2243.199951,10.225458,30287.599609,91.772766,1.000000,0.000000,32.000000,0.000000,
