exp_name,input_type,input_source,reorder_algorithm,rows,cols,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,algo_block_size,epsilon,scramble,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,512,0.400000,3,36.723167,0.000000,414375296.000000,0.000000,838.000000,0.000000,22472.000000,0.000000,1.000000,0.000000,1128.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,512,0.400000,3,3.435254,0.000000,154520352.000000,0.000000,8287.000000,0.000000,88183.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.450000,1,4.034001,0.000000,7742025.000000,0.000000,7029.000000,0.000000,119965.000000,0.000000,1.000000,0.000000,43.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.450000,1,2.961612,0.000000,5610956.000000,0.000000,9600.000000,0.000000,118424.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.450000,3,3.986091,0.000000,7799024.000000,0.000000,7106.000000,0.000000,122297.000000,0.000000,1.000000,0.000000,53.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.450000,3,2.944780,0.000000,5680490.000000,0.000000,9634.000000,0.000000,120572.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.450000,1,5.196014,0.000000,19919028.000000,0.000000,6683.000000,0.000000,119813.000000,0.000000,1.000000,0.000000,53.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,32,0.450000,1,2.954669,0.000000,11004954.000000,0.000000,9600.000000,0.000000,116410.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.450000,3,5.122427,0.000000,20133270.000000,0.000000,6776.000000,0.000000,122841.000000,0.000000,1.000000,0.000000,73.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,32,0.450000,3,2.940571,0.000000,11226590.000000,0.000000,9634.000000,0.000000,119318.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
