exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,merge_limit,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,avg_skipped,avg_comparisons,
default,4,NO_INPUT,2048,2048,5,1.000000,4182,0.100000,0.010000,64,saad_blocks,64,0.300000,jaccard,1,1.000000,1,0,1,-1,11.690417,0.000000,304512.000000,0.000000,126.000000,0.000000,407.000000,0.000000,1.000000,0.000000,410.000000,0.000000,4137.000000,79979.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4182,0.100000,0.010000,64,saad_blocks,64,0.300000,jaccard,1,2.000000,1,0,1,-1,24.964981,0.000000,410624.000000,0.000000,65.000000,0.000000,257.000000,0.000000,1.000000,0.000000,410.000000,0.000000,866.000000,44084.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,20910,0.100000,0.050000,64,saad_blocks,64,0.300000,jaccard,1,-1.000000,1,0,1,-1,52.774647,0.000000,479616.000000,0.000000,47.000000,0.000000,142.000000,0.000000,1.000000,0.000000,125.000000,0.000000,2833.000000,56100.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,20910,0.100000,0.050000,64,saad_blocks,64,0.300000,jaccard,1,0.000000,1,0,1,-1,105.009171,0.000000,732544.000000,0.000000,25.000000,0.000000,109.000000,0.000000,2.000000,0.000000,244.000000,0.000000,0.000000,20474.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,20910,0.100000,0.050000,64,saad_blocks,64,0.300000,jaccard,1,0.250000,1,0,1,-1,26.398375,0.000000,415616.000000,0.000000,90.000000,0.000000,246.000000,0.000000,1.000000,0.000000,121.000000,0.000000,5693.000000,101302.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,20910,0.100000,0.050000,64,saad_blocks,64,0.300000,jaccard,1,0.500000,1,0,1,-1,52.774647,0.000000,479616.000000,0.000000,47.000000,0.000000,142.000000,0.000000,1.000000,0.000000,125.000000,0.000000,2833.000000,56100.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,20910,0.100000,0.050000,64,saad_blocks,64,0.300000,jaccard,1,0.750000,1,0,1,-1,60.046875,0.000000,491904.000000,0.000000,44.000000,0.000000,128.000000,0.000000,1.000000,0.000000,127.000000,0.000000,2648.000000,53915.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,20910,0.100000,0.050000,64,saad_blocks,64,0.300000,jaccard,1,1.000000,1,0,1,-1,62.975208,0.000000,487680.000000,0.000000,36.000000,0.000000,121.000000,0.000000,1.000000,0.000000,126.000000,0.000000,1402.000000,38169.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,20910,0.100000,0.050000,64,saad_blocks,64,0.300000,jaccard,1,2.000000,1,0,1,-1,78.625000,0.000000,603840.000000,0.000000,29.000000,0.000000,120.000000,0.000000,4.000000,0.000000,130.000000,0.000000,1330.000000,31516.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,41820,0.100000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,-1.000000,1,0,1,-1,70.530609,0.000000,442368.000000,0.000000,29.000000,0.000000,98.000000,0.000000,64.000000,0.000000,128.000000,0.000000,768.000000,29347.000000,
