matrix,rows,cols,nonzeros,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0005.el,32768,32768,536870,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.294667,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0010.el,32768,32768,1073741,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.126165,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.011627,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.01168,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0002.el,8192,8192,13421,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.036811,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.038923,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.065952,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.675701,1
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0020.el,8192,8192,134217,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.040224,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0020.el,8192,8192,134217,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.119936,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0050.el,8192,8192,335544,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.069675,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0100.el,8192,8192,671088,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.107051,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0200.el,8192,8192,1342177,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.068811,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.089419,0
